status,crn,type,section, tme,day, location,instructor
-------------------------------------------------------------------------------------
Course  : Description
 1. section open 35944 Laboratory-Discussion AYC 09:00AM - 10:50AM R       0224 Siebel Center for Comp Sci Beckman, A
 section closed 35947 Laboratory-Discussion AYD 11:00AM - 12:50PM R       0224 Siebel Center for Comp Sci Beckman, A
 section closed 35950 Laboratory-Discussion AYE 01:00PM - 02:50PM R       0224 Siebel Center for Comp Sci Beckman, A
 section closed 35952 Laboratory-Discussion AYF 03:00PM - 04:50PM R       0224 Siebel Center for Comp Sci Beckman, A
 section closed 35954 Laboratory-Discussion AYG 05:00PM - 06:50PM R       0224 Siebel Center for Comp Sci Beckman, A
 section closed 35956 Laboratory-Discussion AYH 07:00PM - 08:50PM R       0224 Siebel Center for Comp Sci Beckman, A
 section closed 35959 Laboratory-Discussion AYI 09:00AM - 10:50AM F       0224 Siebel Center for Comp Sci Beckman, A
 1. section open 35923 Laboratory-Discussion AYK 01:00PM - 02:50PM F       0224 Siebel Center for Comp Sci Beckman, A
 section closed 58757 Laboratory-Discussion AYL 03:00PM - 04:50PM F       0224 Siebel Center for Comp Sci Beckman, A
 section closed 58758 Laboratory-Discussion AYM 05:00PM - 06:50PM F       0224 Siebel Center for Comp Sci Beckman, A
 1. section open 62137 Laboratory-Discussion AYN 11:00AM - 12:50PM R       1214 Siebel Center for Comp Sci Beckman, A
 section closed 62139 Laboratory-Discussion AYO 01:00PM - 02:50PM R       1214 Siebel Center for Comp Sci Beckman, A
 section closed 62140 Laboratory-Discussion AYP 03:00PM - 04:50PM R       1214 Siebel Center for Comp Sci Beckman, A
 1. section open 62833 Laboratory-Discussion AYQ 01:00PM - 02:50PM F       1214 Siebel Center for Comp Sci Beckman, A
 section closed 62834 Laboratory-Discussion AYR 03:00PM - 04:50PM F       1214 Siebel Center for Comp Sci Beckman, A
 1. section open 65051 Laboratory-Discussion AYS 09:00AM - 10:50AM R       1214 Siebel Center for Comp Sci Beckman, A
 section closed 65053 Laboratory-Discussion AYT 05:00PM - 06:50PM R       1214 Siebel Center for Comp Sci Beckman, A
 1. section open 65054 Laboratory-Discussion AYU 09:00AM - 10:50AM F       1214 Siebel Center for Comp Sci Beckman, A
 1. section open 65184 Laboratory-Discussion AYV 05:00PM - 06:50PM F       1214 Siebel Center for Comp Sci Beckman, A
-------------------------------------------------------------------------------------
CS 233  : Computer Architecture
 section closed 63733 Lecture AL1 10:00AM - 10:50AM MWF     1320 Digital Computer Laboratory Zilles, C
